Part.,Interl. Dur.,Interl. Vid. Count,Interl. Low Ar.,Ratio,Low Ar. vid. bfr 2nd,Low Ar. time bfr 2nd,Max GSR 1st,Max GSR 1st Time,Max GSR 2nd,Max GSR 2nd Time,Diff. GSR,Diff. GSR Time
1,959958.333,3.0,2.0,-0.2877,1.0,386750.0,17.22866,180950.0,6.95756,143650.0,-10.2711,-37300.0
2,929375.0,3.0,2.0,-0.2877,2.0,623791.667,35.31638,90150.0,42.294340000000005,71200.0,6.977960000000003,-18950.0
3,1237458.333,4.0,2.0,-0.5108,1.0,400125.0,34.439679999999996,133150.0,35.91654,117350.0,1.476860000000002,-15800.0
4,890541.667,3.0,3.0,0.0,3.0,890541.667,25.19844,143700.0,36.697379999999995,148950.0,11.498939999999994,5250.0
5,623791.667,2.0,2.0,0.0,2.0,623791.667,47.88054,76200.0,45.35416,19950.0,-2.526380000000003,-56250.0
6,693208.333,2.0,1.0,-0.4055,0.0,120000.0,11.39356,22700.0,13.713379999999999,64550.0,2.319819999999998,41850.0
7,998791.666,3.0,1.0,-0.6931,0.0,120000.0,26.29946,183700.0,29.00698,117550.0,2.707519999999999,-66150.0
8,959958.333,3.0,2.0,-0.2877,1.0,386750.0,42.99344,181250.0,34.9515,143700.0,-8.041939999999997,-37550.0
9,929375.0,3.0,2.0,-0.2877,0.0,120000.0,17.50786,143700.0,38.16664,121700.0,20.65878,-22000.0
10,1769333.333,6.0,4.0,-0.3365,1.0,385125.0,29.151660000000003,143700.0,36.12306,65500.0,6.971399999999999,-78200.0
11,690708.333,2.0,1.0,-0.4055,1.0,385125.0,29.566860000000002,181300.0,26.476,115850.0,-3.090860000000003,-65450.0
12,623791.667,2.0,2.0,0.0,2.0,623791.667,29.88456,143700.0,44.92622,196900.0,15.04166,53200.0
13,1265541.666,4.0,2.0,-0.5108,1.0,400125.0,38.88224,187400.0,37.4628,141200.0,-1.4194400000000016,-46200.0
14,386750.0,1.0,1.0,0.0,1.0,386750.0,50.21434,142850.0,50.32993999999999,125750.0,0.11559999999999349,-17100.0
15,693208.333,2.0,1.0,-0.4055,1.0,400125.0,52.95398,124750.0,41.277680000000004,143650.0,-11.676299999999998,18900.0
16,664250.0,2.0,1.0,-0.4055,0.0,120000.0,17.23442,142150.0,28.51538,139550.0,11.28096,-2600.0
17,929375.0,3.0,2.0,-0.2877,0.0,120000.0,39.40618,125600.0,24.017220000000002,143700.0,-15.388959999999997,18100.0
18,1211125.0,4.0,3.0,-0.2231,1.0,358666.667,29.44844,140900.0,32.83318,118750.0,3.384739999999997,-22150.0
19,1225083.333,4.0,3.0,-0.2231,1.0,386750.0,42.71546,183100.0,25.724239999999998,143700.0,-16.991220000000002,-39400.0
20,1489208.333,5.0,3.0,-0.4055,1.0,385125.0,30.12246,141850.0,33.072939999999996,120850.0,2.9504799999999953,-21000.0
21,959958.333,3.0,2.0,-0.2877,0.0,120000.0,11.90884,68700.0,11.363,2650.0,-0.5458400000000001,-66050.0
22,666875.0,2.0,2.0,0.0,2.0,666875.0,12.699000000000002,119700.0,12.37114,166150.0,-0.32786000000000115,46450.0
23,929375.0,3.0,2.0,-0.2877,2.0,623791.667,19.446099999999998,67600.0,17.78066,117200.0,-1.6654399999999967,49600.0
24,1502583.333,5.0,3.0,-0.4055,0.0,120000.0,9.04858,118900.0,14.26102,123300.0,5.212440000000001,4400.0
25,1183625.0,4.0,3.0,-0.2231,1.0,386750.0,28.05914,189500.0,18.3138,120950.0,-9.745339999999999,-68550.0
26,1197000.0,4.0,3.0,-0.2231,2.0,623791.667,52.976800000000004,141000.0,52.94238,64700.0,-0.034420000000004336,-76300.0
27,998791.666,3.0,1.0,-0.6931,0.0,120000.0,47.5514,122200.0,44.52908,143250.0,-3.0223200000000006,21050.0
28,1463750.0,5.0,4.0,-0.1823,3.0,903916.667,21.29942,114550.0,22.11248,120600.0,0.8130600000000001,6050.0
29,1225083.333,4.0,3.0,-0.2231,0.0,120000.0,66.03858,184450.0,53.22976,119650.0,-12.808819999999997,-64800.0
30,1502583.333,5.0,3.0,-0.4055,0.0,120000.0,4.8033,138900.0,19.03344,122850.0,14.230139999999999,-16050.0
